;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 3/18/2015 5:04:38 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x2C02      	GOTO       1026
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x00D5      	MOVWF      ___saveSTATUS
0x0008	0x080A      	MOVF       PCLATH, 0
0x0009	0x00D6      	MOVWF      ___savePCLATH
0x000A	0x018A      	CLRF       PCLATH
0x000B	0x0870      	MOVF       R0, 0
0x000C	0x00AD      	MOVWF      45
0x000D	0x0871      	MOVF       R1, 0
0x000E	0x00AC      	MOVWF      44
0x000F	0x0872      	MOVF       R2, 0
0x0010	0x00AB      	MOVWF      43
0x0011	0x0873      	MOVF       R3, 0
0x0012	0x00AA      	MOVWF      42
0x0013	0x0874      	MOVF       R4, 0
0x0014	0x00A9      	MOVWF      41
0x0015	0x0875      	MOVF       R5, 0
0x0016	0x00A8      	MOVWF      40
0x0017	0x0876      	MOVF       R6, 0
0x0018	0x00A7      	MOVWF      39
0x0019	0x0877      	MOVF       R7, 0
0x001A	0x00A6      	MOVWF      38
0x001B	0x0878      	MOVF       R8, 0
0x001C	0x00A5      	MOVWF      37
0x001D	0x087A      	MOVF       R10, 0
0x001E	0x00A4      	MOVWF      36
0x001F	0x087B      	MOVF       R11, 0
0x0020	0x00A3      	MOVWF      35
0x0021	0x087C      	MOVF       R12, 0
0x0022	0x00A2      	MOVWF      34
0x0023	0x087D      	MOVF       R13, 0
0x0024	0x00A1      	MOVWF      33
;ultrasonic_sensor.c,20 :: 		void interrupt()
;ultrasonic_sensor.c,22 :: 		if(INTCON.RBIF == 1)                 //Makes sure that it is PORTB On-Change Interrupt
0x0025	0x1C0B      	BTFSS      INTCON, 0
0x0026	0x2844      	GOTO       L_interrupt0
;ultrasonic_sensor.c,24 :: 		INTCON.RBIE = 0;                   //Disable On-Change Interrupt
0x0027	0x118B      	BCF        INTCON, 3
;ultrasonic_sensor.c,25 :: 		if(PORTB.F4 == 1)                  //If ECHO is HIGH
0x0028	0x1E06      	BTFSS      PORTB, 4
0x0029	0x282B      	GOTO       L_interrupt1
;ultrasonic_sensor.c,26 :: 		T1CON.F0 = 1;                    //Start Timer
0x002A	0x1410      	BSF        T1CON, 0
L_interrupt1:
;ultrasonic_sensor.c,27 :: 		if(PORTB.F4 == 0)                  //If ECHO is LOW
0x002B	0x1A06      	BTFSC      PORTB, 4
0x002C	0x2844      	GOTO       L_interrupt2
;ultrasonic_sensor.c,29 :: 		T1CON.F0 = 0;                    //Stop Timer
0x002D	0x1010      	BCF        T1CON, 0
;ultrasonic_sensor.c,30 :: 		a = (TMR1L | (TMR1H<<8))/58.82;  //Calculate Distance
0x002E	0x080F      	MOVF       TMR1H, 0
0x002F	0x00F1      	MOVWF      R0+1
0x0030	0x01F0      	CLRF       R0
0x0031	0x080E      	MOVF       TMR1L, 0
0x0032	0x04F0      	IORWF      R0, 1
0x0033	0x3000      	MOVLW      0
0x0034	0x04F1      	IORWF      R0+1, 1
0x0035	0x23EC      	CALL       _Word2Double
0x0036	0x30AE      	MOVLW      174
0x0037	0x00F4      	MOVWF      R4
0x0038	0x3047      	MOVLW      71
0x0039	0x00F5      	MOVWF      R4+1
0x003A	0x306B      	MOVLW      107
0x003B	0x00F6      	MOVWF      R4+2
0x003C	0x3084      	MOVLW      132
0x003D	0x00F7      	MOVWF      R4+3
0x003E	0x218A      	CALL       _Div_32x32_FP
0x003F	0x225F      	CALL       _Double2Int
0x0040	0x0870      	MOVF       R0, 0
0x0041	0x00D0      	MOVWF      _a
